,#agents,#positives,#neutrals,#negatives,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,CO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,CO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,7,0,93,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,30,0,70,5,5,200,1,0,CO,majority_opinion,1500
0,100,24,0,76,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,58,0,42,5,5,200,1,0,CO,majority_opinion,1500
0,100,92,0,8,5,5,200,1,0,CO,majority_opinion,1500
0,100,49,0,51,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,9,0,91,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,79,0,21,5,5,200,1,0,CO,majority_opinion,1500
0,100,91,0,9,5,5,200,1,0,CO,majority_opinion,1500
0,100,52,0,48,5,5,200,1,0,CO,majority_opinion,1500
0,100,84,0,16,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,27,0,73,5,5,200,1,0,CO,majority_opinion,1500
0,100,94,0,6,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,8,0,92,5,5,200,1,0,CO,majority_opinion,1500
0,100,10,0,90,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,72,0,28,5,5,200,1,0,CO,majority_opinion,1500
0,100,7,0,93,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,6,0,94,5,5,200,1,0,CO,majority_opinion,1500
0,100,69,0,31,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,93,0,7,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,25,0,75,5,5,200,1,0,CO,majority_opinion,1500
0,100,88,0,12,5,5,200,1,0,CO,majority_opinion,1500
0,100,31,0,69,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,95,0,5,5,5,200,1,0,CO,majority_opinion,1500
0,100,93,0,7,5,5,200,1,0,CO,majority_opinion,1500
0,100,5,0,95,5,5,200,1,0,CO,majority_opinion,1500
0,100,9,0,91,5,5,200,1,0,CO,majority_opinion,1500
0,100,32,1,67,5,5,200,1,0,CO,majority_opinion,1500
0,100,46,0,54,5,5,200,1,0,CO,majority_opinion,1500
0,100,91,0,9,5,5,200,1,0,CO,majority_opinion,1500
0,100,92,0,8,5,5,200,1,0,CO,majority_opinion,1500
