,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,3443,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4066,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3019,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2277,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4237,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3339,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2127,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2785,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2814,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3578,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2934,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3234,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2973,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2754,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3654,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4271,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3752,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3346,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3467,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2683,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3904,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3330,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3870,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3320,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2934,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3777,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3122,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3456,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3204,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3102,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2948,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3355,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2951,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2815,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3479,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4306,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3217,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2066,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3279,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3319,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3138,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3305,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3248,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3230,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3905,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2981,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3562,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4005,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3194,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3128,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3764,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3085,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3279,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3951,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2652,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3758,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3415,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3855,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3481,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3502,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3345,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3714,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3578,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3617,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2667,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3363,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3880,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3340,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2483,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3333,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2941,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3149,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2820,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3322,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2549,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2927,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3782,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3458,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2770,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2757,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2878,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3430,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3841,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3586,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2850,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3739,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3032,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3465,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3480,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2529,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2723,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2725,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3116,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3484,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3068,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2620,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2851,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3339,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3133,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3376,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
