,#agents,current step,#positives,#neutrals,#negatives,#isolates,#experts,#liars,#initial_connections,#news,#cluster distance,#comm_protocol,#conv_protocol,#steps
0,100,2636,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4279,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3398,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3040,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3108,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2670,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3490,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3290,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2656,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2955,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3892,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3882,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2594,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3516,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2774,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2609,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3745,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2563,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2981,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3004,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3410,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2733,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3039,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3521,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2717,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3260,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3778,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2981,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3156,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3328,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2705,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3207,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3307,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2449,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2574,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4063,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3326,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3836,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2931,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2069,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4030,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2654,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3013,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2874,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3795,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3444,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3554,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2965,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3526,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2939,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3329,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3810,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3662,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3097,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3260,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2575,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2836,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2370,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3128,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3799,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3001,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2864,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3896,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3009,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3460,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3340,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3160,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3673,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2554,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2849,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4085,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2832,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2799,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2690,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3041,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3387,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2829,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2654,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2745,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2968,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3450,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3652,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3122,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3609,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2732,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4059,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2273,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,4120,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2777,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3721,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2688,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2994,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2722,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,2922,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3354,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3196,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3001,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3378,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3355,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
0,100,3391,95,0,5,0,5,5,2970,1,0,CO,majority_opinion,10000
